ad_set,ad,direction,ratio,path
AS_Lawsuit_NW,Collection_Lawsuit,photo,4x5,creatives/Collection_Lawsuit/Collection_Lawsuit_photo_4x5.png
AS_Lawsuit_NW,Collection_Lawsuit,photo,9x16,creatives/Collection_Lawsuit/Collection_Lawsuit_photo_9x16.png
AS_Lawsuit_NW,Collection_Lawsuit,photo,1.91x1,creatives/Collection_Lawsuit/Collection_Lawsuit_photo_1.91x1.png
AS_Lawsuit_NW,Collection_Lawsuit,stilllife,1x1,creatives/Collection_Lawsuit/Collection_Lawsuit_stilllife_1x1.png
AS_Lawsuit_NW,Collection_Lawsuit,stilllife,4x5,creatives/Collection_Lawsuit/Collection_Lawsuit_stilllife_4x5.png
AS_Lawsuit_NW,Collection_Lawsuit,stilllife,9x16,creatives/Collection_Lawsuit/Collection_Lawsuit_stilllife_9x16.png
AS_Lawsuit_NW,Collection_Lawsuit,stilllife,1.91x1,creatives/Collection_Lawsuit/Collection_Lawsuit_stilllife_1.91x1.png
AS_Lawsuit_NW,Collection_Lawsuit,video,9x16,creatives/Collection_Lawsuit/Collection_Lawsuit_video_9x16.mp4
AS_Lawsuit_NW,Creditor_Suing,illustration,1x1,creatives/Creditor_Suing/Creditor_Suing_illustration_1x1.png
AS_Lawsuit_NW,Creditor_Suing,illustration,4x5,creatives/Creditor_Suing/Creditor_Suing_illustration_4x5.png
AS_Lawsuit_NW,Creditor_Suing,illustration,9x16,creatives/Creditor_Suing/Creditor_Suing_illustration_9x16.png
AS_Lawsuit_NW,Creditor_Suing,illustration,1.91x1,creatives/Creditor_Suing/Creditor_Suing_illustration_1.91x1.png
AS_Lawsuit_NW,Creditor_Suing,photo,1x1,creatives/Creditor_Suing/Creditor_Suing_photo_1x1.png
AS_Lawsuit_NW,Creditor_Suing,photo,4x5,creatives/Creditor_Suing/Creditor_Suing_photo_4x5.png
AS_Lawsuit_NW,Creditor_Suing,photo,9x16,creatives/Creditor_Suing/Creditor_Suing_photo_9x16.png
AS_Lawsuit_NW,Creditor_Suing,photo,1.91x1,creatives/Creditor_Suing/Creditor_Suing_photo_1.91x1.png
